Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,6月2日,180,Texas,7730337
Jae Crowder,Boston Celtics,99,SF,25,6月6日,235,Marquette,6796117
John Holland,Boston Celtics,30,SG,27,6月5日,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,6月5日,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,8,PF,29,6月10日,231,,5000000
Amir Johnson,Boston Celtics,90,PF,29,6月9日,240,,12000000
Jordan Mickey,Boston Celtics,55,PF,21,6月8日,235,LSU,1170960
Kelly Olynyk,Boston Celtics,41,C,25,7-0,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,12,PG,22,6月2日,190,Louisville,1824360
Marcus Smart,Boston Celtics,36,PG,22,6月4日,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,7,C,24,6月9日,260,Ohio State,2569260
Isaiah Thomas,Boston Celtics,4,PG,27,5月9日,185,Washington,6912869
Evan Turner,Boston Celtics,11,SG,27,6月7日,220,Ohio State,3425510
James Young,Boston Celtics,13,SG,20,6月6日,215,Kentucky,1749840
Tyler Zeller,Boston Celtics,44,C,26,7-0,253,North Carolina,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,6月8日,216,,3425510
Markel Brown,Brooklyn Nets,22,SG,24,6月3日,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,6月4日,200,North Carolina,1500000
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,6月7日,220,Arizona,1335480
Jarrett Jack,Brooklyn Nets,2,PG,32,6月3日,200,Georgia Tech,6300000
Sergey Karasev,Brooklyn Nets,10,SG,22,6月7日,208,,1599840
Sean Kilpatrick,Brooklyn Nets,6,SG,26,6月4日,219,Cincinnati,134215
Shane Larkin,Brooklyn Nets,0,PG,23,5月11日,175,Miami (FL),1500000
Brook Lopez,Brooklyn Nets,11,C,28,7-0,275,Stanford,19689000
Chris McCullough,Brooklyn Nets,1,PF,21,6月11日,200,Syracuse,1140240
Willie Reed,Brooklyn Nets,33,PF,26,6月10日,220,Saint Louis,947276
Thomas Robinson,Brooklyn Nets,41,PF,25,6月10日,237,Kansas,981348
Henry Sims,Brooklyn Nets,14,C,26,6月10日,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,15,PG,28,6月3日,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,30,PF,27,6月8日,221,Georgia Tech,11235955
Arron Afflalo,New York Knicks,4,SG,30,6月5日,210,UCLA,8000000
Lou Amundson,New York Knicks,17,PF,33,6月9日,220,UNLV,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,23,6月7日,205,,30888
Carmelo Anthony,New York Knicks,7,SF,32,6月8日,240,Syracuse,22875000
Jose Calderon,New York Knicks,3,PG,34,6月3日,200,,7402812
Cleanthony Early,New York Knicks,11,SF,25,6月8日,210,Wichita State,845059
Langston Galloway,New York Knicks,2,SG,24,6月2日,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,13,PG,23,6月4日,195,Notre Dame,1572360
Robin Lopez,New York Knicks,8,C,28,7-0,255,Stanford,12650000
